country,year,medal,count,population
Germany,1996,Bronze,47,81914831
China,2000,Gold,39,1262645000
Bulgaria,1972,Bronze,6,8576200
Netherlands,1992,Silver,21,15184166
Russia,2004,Silver,46,144067054
Sweden,1964,Bronze,9,7661354
Australia,1976,Silver,15,14033000
Zimbabwe,1980,Gold,15,7408624
Poland,2008,Silver,13,38125759
Peru,1988,Silver,12,21153459
Poland,1960,Silver,12,29637450
China,2006,Gold,2,1311020000
Bulgaria,2016,Bronze,6,7127822
Bulgaria,1988,Bronze,17,8981446
Indonesia,2012,Bronze,1,248452413
China,1988,Bronze,30,1101630000
Serbia,2000,Gold,11,7516346
Ethiopia,2008,Gold,4,82916235
South Korea,2002,Gold,5,47644736
Russia,1992,Silver,71,148689000
Bulgaria,1968,Gold,2,8369603
Hungary,2004,Silver,12,10107146
Indonesia,1992,Bronze,1,187739786
Slovenia,2012,Bronze,3,2057159
Czech Republic,1976,Silver,23,10125939
Japan,1994,Gold,3,124961000
Cameroon,2000,Gold,18,15513945
Bahamas,2008,Silver,6,343681
Poland,1988,Gold,2,37824487
United Arab Emirates,2004,Gold,1,4068570
Finland,1996,Silver,2,5124573
Jamaica,1996,Silver,3,2558637
Slovakia,1996,Gold,1,5373361
Qatar,1992,Bronze,1,495395
Nigeria,2008,Silver,16,150269623
Thailand,2016,Gold,2,68971331
Netherlands,2016,Gold,9,17030314
Denmark,2004,Bronze,9,5404523
Sweden,1988,Silver,5,8436489
China,2008,Gold,74,1324655000
Denmark,1960,Gold,2,4579603
Tunisia,2012,Bronze,1,10847002
Serbia,2000,Silver,1,7516346
Turkey,1960,Silver,2,27472345
Belarus,2012,Bronze,8,9464495
Australia,1972,Gold,11,13177000
Mexico,2000,Silver,2,98899845
Nigeria,2000,Silver,2,122283850
Montenegro,2012,Silver,14,620601
Ethiopia,2016,Bronze,5,103603501
Thailand,2016,Silver,2,68971331
Slovakia,2010,Bronze,1,5391428
Germany,2002,Gold,26,82488495
Mongolia,1976,Silver,1,1520865
Russia,1998,Bronze,6,147670692
Canada,2014,Gold,59,35437435
Kenya,1972,Silver,3,12146068
France,1980,Bronze,7,55161527
Belgium,1984,Gold,1,9855372
Netherlands,1968,Gold,9,12729721
Ethiopia,1992,Bronze,2,51423585
United Kingdom,1988,Gold,22,56928327
Italy,1960,Silver,18,50199700
Russia,2000,Gold,66,146596557
Nigeria,2000,Gold,6,122283850
Togo,2008,Bronze,1,6083420
Italy,1984,Gold,31,56576718
Italy,1960,Bronze,35,50199700
Australia,1968,Bronze,11,12009000
Sweden,2010,Bronze,4,9378126
Poland,2008,Bronze,1,38125759
Japan,2012,Bronze,33,127629000
Romania,1984,Gold,40,22655940
Greece,2004,Bronze,5,10955141
