country,year,medal,count,population
Ethiopia,2012,Bronze,3,92726971
Poland,1964,Bronze,23,31139450
Bulgaria,1976,Gold,8,8758599
Italy,1998,Bronze,5,56906744
Tunisia,1968,Gold,1,4845219
Bermuda,1976,Bronze,1,53200
Czech Republic,1984,Bronze,4,10330213
Finland,1964,Silver,7,4548543
Armenia,2012,Silver,1,2884229
Belarus,2010,Bronze,1,9490583
Brazil,2012,Silver,34,199287296
Sweden,1968,Silver,11,7912273
Kenya,1972,Bronze,4,12146068
Slovakia,2008,Gold,4,5379233
Norway,2006,Silver,9,4660677
Germany,1968,Silver,41,77294314
Bahamas,2004,Gold,1,318894
Bulgaria,2004,Gold,2,7716860
Brazil,2012,Gold,14,199287296
Czech Republic,2002,Gold,1,10196916
Italy,2000,Silver,14,56942108
Morocco,2008,Bronze,1,31536811
Netherlands,2010,Silver,1,16615394
Lithuania,2012,Bronze,2,2987773
Sweden,2012,Bronze,3,9519374
Germany,2012,Bronze,22,80425823
Greece,2016,Bronze,3,10775971
Canada,1996,Gold,8,29610218
Poland,2002,Bronze,1,38230364
Sweden,1998,Silver,2,8850974
Bulgaria,2016,Silver,1,7127822
South Korea,1994,Bronze,1,44641540
Algeria,2000,Bronze,3,31042235
Colombia,1972,Silver,1,22516425
Australia,2012,Silver,37,22733465
France,2008,Bronze,28,64374984
Denmark,1960,Silver,17,4579603
Uganda,1968,Silver,1,8841153
Poland,1992,Gold,5,38363667
Mexico,1968,Bronze,3,48431972
Romania,1980,Bronze,46,22242653
Czech Republic,2008,Silver,4,10384603
